,date,XHB.US_5,EWU.US_5,JNK.US_5,XLP.US_5,IEV.US_5,UDOW.US_5,XRT.US_5,FXA.US_5,SLV.US_5,FXE.US_5,XLU.US_5,XLK.US_5,ECH.US_5,GSG.US_5,XLV.US_5,XLY.US_5,IBB.US_5,EWG.US_5,COPX.US_5,SOXX.US_5,SVXY.US_5,FEZ.US_5,XLF.US_5,EMB.US_5,XOP.US_5,VNQI.US_5,cash,prt_value
58,2019-10-31 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
59,2019-10-31 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
60,2019-10-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
61,2019-10-31 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
62,2019-10-31 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
63,2019-10-31 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
64,2019-11-01 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
65,2019-11-01 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
66,2019-11-01 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
67,2019-11-01 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
68,2019-11-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
69,2019-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
70,2019-11-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
71,2019-11-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
72,2019-11-04 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
73,2019-11-04 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
74,2019-11-04 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
75,2019-11-04 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
76,2019-11-04 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
77,2019-11-04 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
78,2019-11-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
79,2019-11-04 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
80,2019-11-05 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
